iucn_sid,years,cat_ts,scores,pop_trend_desc,calc_trend
133045,"2008, 2014","LC, LC","0, 0",unknown,NA
133046,"2008, 2014","EN, EN","0.6, 0.6",decreasing,NA
133049,"2008, 2014","LC, LC","0, 0",unknown,NA
133054,"2008, 2014","LC, LC","0, 0",unknown,NA
133055,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133058,"2008, 2014","LC, LC","0, 0",unknown,NA
133063,"2008, 2014","LC, LC","0, 0",unknown,NA
133066,"2008, 2014","LC, LC","0, 0",decreasing,NA
133070,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133071,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133076,"2008, 2014","LC, LC","0, 0",unknown,NA
133082,"2008, 2014","LC, LC","0, 0",unknown,NA
133083,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133084,"2008, 2014","LC, LC","0, 0",decreasing,NA
133087,"2008, 2014","LC, LC","0, 0",decreasing,NA
133088,"2008, 2014","LC, LC","0, 0",decreasing,NA
133090,"2008, 2014","LC, LC","0, 0",decreasing,NA
133091,"2008, 2014","LC, LC","0, 0",unknown,NA
133095,"2008, 2014","LC, LC","0, 0",unknown,NA
133097,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133098,"2008, 2014","LC, LC","0, 0",unknown,NA
133099,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133105,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133106,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133116,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133117,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133127,"2008, 2014","LC, LC","0, 0",unknown,NA
133132,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133136,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133137,"2008, 2014","LC, LC","0, 0",decreasing,NA
133139,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133140,"2008, 2014","LC, LC","0, 0",stable,NA
133148,"2008, 2014","LC, LC","0, 0",unknown,NA
133156,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133158,"2008, 2014","LC, LC","0, 0",unknown,NA
133166,"2008, 2014","LC, LC","0, 0",unknown,NA
133167,"2008, 2014","LC, LC","0, 0",decreasing,NA
133171,"2008, 2014","LC, LC","0, 0",unknown,NA
133172,"2008, 2014","LC, LC","0, 0",unknown,NA
133175,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133183,"2008, 2014","LC, LC","0, 0",unknown,NA
133186,"2008, 2014","LC, LC","0, 0",decreasing,NA
133192,"2008, 2014","LC, LC","0, 0",unknown,NA
133197,"2008, 2014","LC, LC","0, 0",unknown,NA
133198,"2008, 2014","LC, LC","0, 0",unknown,NA
133200,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133201,"2008, 2014","LC, LC","0, 0",unknown,NA
133203,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133208,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133209,"2008, 2014","LC, LC","0, 0",decreasing,NA
133215,"2008, 2014","LC, LC","0, 0",unknown,NA
133216,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133220,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133222,"2008, 2014","LC, LC","0, 0",unknown,NA
133231,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133236,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133239,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133240,"2008, 2014","LC, LC","0, 0",unknown,NA
133242,"2008, 2014","LC, LC","0, 0",unknown,NA
133244,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133246,"2008, 2014","LC, LC","0, 0",unknown,NA
133248,"2008, 2014","LC, LC","0, 0",decreasing,NA
133250,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133256,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133258,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133262,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133267,"2008, 2014","LC, LC","0, 0",decreasing,NA
133272,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133277,"2008, 2014","LC, LC","0, 0",unknown,NA
133284,"2008, 2014","LC, LC","0, 0",decreasing,NA
133289,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133290,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133291,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133292,"2008, 2014","LC, LC","0, 0",decreasing,NA
133293,"2008, 2014","LC, LC","0, 0",decreasing,NA
133302,"2008, 2014","LC, LC","0, 0",decreasing,NA
133303,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133304,"2008, 2014","LC, LC","0, 0",unknown,NA
133308,"2008, 2014","LC, LC","0, 0",unknown,NA
133314,"2008, 2014","LC, LC","0, 0",decreasing,NA
133315,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133324,"2008, 2014","LC, LC","0, 0",decreasing,NA
133325,"2008, 2014","LC, LC","0, 0",decreasing,NA
133326,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133327,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133329,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133330,"2008, 2014","LC, LC","0, 0",unknown,NA
133332,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133337,"2008, 2014","LC, LC","0, 0",unknown,NA
133343,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133345,"2008, 2014","LC, LC","0, 0",decreasing,NA
133351,"2008, 2014","LC, LC","0, 0",unknown,NA
133353,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133357,"2008, 2014","LC, LC","0, 0",unknown,NA
133360,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133365,"2008, 2014","LC, LC","0, 0",decreasing,NA
133376,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133378,"2008, 2014","LC, LC","0, 0",unknown,NA
133380,"2008, 2014","LC, LC","0, 0",unknown,NA
133382,"2008, 2014","LC, LC","0, 0",unknown,NA
133386,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133387,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133390,"2008, 2014","LC, LC","0, 0",unknown,NA
133398,"2008, 2014","LC, LC","0, 0",unknown,NA
133403,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133406,"2008, 2014","LC, LC","0, 0",unknown,NA
133407,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133410,"2008, 2014","LC, LC","0, 0",unknown,NA
133414,"2008, 2014","LC, LC","0, 0",decreasing,NA
133415,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133418,"2008, 2014","LC, LC","0, 0",unknown,NA
133419,"2008, 2014","LC, LC","0, 0",unknown,NA
133420,"2008, 2014","LC, LC","0, 0",decreasing,NA
133423,"2008, 2014","LC, LC","0, 0",unknown,NA
133426,"2008, 2014","LC, LC","0, 0",decreasing,NA
133428,"2008, 2014","LC, LC","0, 0",unknown,NA
133438,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133440,"2008, 2014","LC, LC","0, 0",decreasing,NA
133448,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133451,"2008, 2014","LC, LC","0, 0",decreasing,NA
133452,"2008, 2014","LC, LC","0, 0",decreasing,NA
133453,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133456,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133458,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133459,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133463,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133468,"2008, 2014","LC, LC","0, 0",decreasing,NA
133470,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133473,"2008, 2014","LC, LC","0, 0",unknown,NA
133474,"2008, 2014","LC, LC","0, 0",unknown,NA
133478,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133482,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133485,"2008, 2014","LC, LC","0, 0",decreasing,NA
133486,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133493,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133495,"2008, 2014","LC, LC","0, 0",unknown,NA
133496,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133502,"2008, 2014","LC, LC","0, 0",unknown,NA
133503,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133516,"2008, 2014","LC, LC","0, 0",decreasing,NA
133523,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133525,"2008, 2014","LC, LC","0, 0",decreasing,NA
133526,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133531,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133532,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133538,"2008, 2014","LC, LC","0, 0",unknown,NA
133539,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133545,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133548,"2008, 2014","LC, LC","0, 0",unknown,NA
133551,"2008, 2014","LC, LC","0, 0",unknown,NA
133557,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133558,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133559,"2008, 2014","LC, LC","0, 0",unknown,NA
133560,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133566,"2008, 2014","LC, LC","0, 0",unknown,NA
133569,"2008, 2014","LC, LC","0, 0",decreasing,NA
133570,"2008, 2014","LC, LC","0, 0",unknown,NA
133576,"2008, 2014","LC, LC","0, 0",decreasing,NA
133581,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133582,"2008, 2014","LC, LC","0, 0",unknown,NA
133587,"2008, 2014","LC, LC","0, 0",unknown,NA
133588,"2008, 2014","VU, VU","0.4, 0.4",stable,NA
133593,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133601,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133607,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133613,"2008, 2014","LC, LC","0, 0",unknown,NA
133616,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133633,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133634,"2008, 2014","LC, LC","0, 0",decreasing,NA
133635,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133636,"2008, 2014","LC, LC","0, 0",unknown,NA
133638,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133640,"2008, 2014","LC, LC","0, 0",unknown,NA
133641,"2008, 2014","LC, LC","0, 0",unknown,NA
133644,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133646,"2008, 2014","LC, LC","0, 0",decreasing,NA
133648,"2008, 2014","LC, LC","0, 0",decreasing,NA
133649,"2008, 2014","LC, LC","0, 0",decreasing,NA
133652,"2008, 2014","LC, LC","0, 0",decreasing,NA
133660,"2008, 2014","VU, VU","0.4, 0.4",decreasing,NA
133662,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133666,"2008, 2014","NT, NT","0.2, 0.2",decreasing,NA
133673,"2008, 2014","LC, LC","0, 0",unknown,NA
133676,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133685,"2008, 2014","NT, NT","0.2, 0.2",unknown,NA
133697,"2008, 2014","VU, VU","0.4, 0.4",unknown,NA
133700,"2008, 2014","LC, LC","0, 0",decreasing,NA
133702,"2008, 2014","LC, LC","0, 0",unknown,NA
135301,"2008, 2011","LC, LC","0, 0",stable,NA
135525,"2008, 2010","LC, LC","0, 0",unknown,NA
135567,"2008, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
135690,"2008, 2014","LC, LC","0, 0",increasing,NA
135717,"2008, 2010","LC, LC","0, 0",decreasing,NA
135719,"2008, 2013","LC, LC","0, 0",unknown,NA
136315,"2008, 2017","NT, VU","0.2, 0.4",decreasing,NA
154644,"2010, 2014","LC, LC","0, 0",unknown,NA
154669,"2010, 2015","LC, LC","0, 0",unknown,NA
154676,"2010, 2012","LC, LC","0, 0",stable,NA
154677,"2010, 2012","LC, LC","0, 0",stable,NA
154706,"2010, 2012","LC, LC","0, 0",unknown,NA
154712,"2010, 2011","LC, LC","0, 0",stable,NA
154731,"2010, 2013","LC, LC","0, 0",stable,NA
154780,"2010, 2012","LC, LC","0, 0",unknown,NA
154825,"2010, 2011","LC, LC","0, 0",unknown,NA
154853,"2010, 2017","LC, LC","0, 0",decreasing,NA
154855,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",unknown,0
154863,"2010, 2012","LC, LC","0, 0",unknown,NA
154924,"2010, 2017","LC, LC","0, 0",unknown,NA
154938,"2010, 2016","LC, LC","0, 0",unknown,NA
154946,"2010, 2011","LC, LC","0, 0",unknown,NA
154960,"2010, 2012","LC, LC","0, 0",unknown,NA
154971,"2010, 2012","LC, LC","0, 0",stable,NA
154976,"2010, 2012","LC, LC","0, 0",stable,NA
155018,"2010, 2015","NT, VU","0.2, 0.4",decreasing,NA
155021,"2010, 2015","LC, VU","0, 0.4",unknown,NA
155073,"2010, 2017","LC, LC","0, 0",unknown,NA
155096,"2010, 2011","LC, LC","0, 0",stable,NA
155116,"2010, 2017","LC, LC","0, 0",unknown,NA
155120,"2010, 2012","LC, LC","0, 0",decreasing,NA
155165,"2010, 2016","LC, LC","0, 0",decreasing,NA
155180,"2010, 2014","LC, LC","0, 0",unknown,NA
155181,"2010, 2017","LC, LC","0, 0",unknown,NA
155201,"2010, 2012","LC, LC","0, 0",stable,NA
155212,"2010, 2016, 2017","LC, LC, LC","0, 0, 0",decreasing,0
155226,"2010, 2014","LC, LC","0, 0",unknown,NA
155235,"2010, 2015","LC, LC","0, 0",unknown,NA
155273,"2010, 2012","LC, LC","0, 0",unknown,NA
155276,"2010, 2011","LC, LC","0, 0",stable,NA
155282,"2010, 2014","LC, LC","0, 0",stable,NA
155285,"2012, 2017","VU, LC","0.4, 0",unknown,NA
155290,"2010, 2012","LC, LC","0, 0",unknown,NA
161334,"2009, 2015","LC, LC","0, 0",unknown,NA
161337,"2009, 2015","LC, LC","0, 0",unknown,NA
161342,"2009, 2015","LC, LC","0, 0",unknown,NA
161346,"2009, 2015","LC, LC","0, 0",unknown,NA
161350,"2009, 2015","LC, LC","0, 0",unknown,NA
161370,"2009, 2015","NT, LC","0.2, 0",stable,NA
161373,"2009, 2016","NT, NT","0.2, 0.2",unknown,NA
161375,"2009, 2015","LC, LC","0, 0",stable,NA
161381,"2009, 2015","LC, LC","0, 0",unknown,NA
161386,"2009, 2016","LC, LC","0, 0",unknown,NA
161426,"2009, 2017","NT, NT","0.2, 0.2",decreasing,NA
161430,"2009, 2015","LC, LC","0, 0",stable,NA
161431,"2009, 2016","NT, VU","0.2, 0.4",decreasing,NA
161452,"2009, 2016","LC, LC","0, 0",unknown,NA
161464,"2009, 2015","VU, EN","0.4, 0.6",decreasing,NA
161471,"2009, 2015","LC, LC","0, 0",unknown,NA
161486,"2009, 2015","LC, LC","0, 0",unknown,NA
161489,"2009, 2015","LC, LC","0, 0",unknown,NA
161495,"2009, 2016","EN, EN","0.6, 0.6",decreasing,NA
161505,"2009, 2012, 2015, 2016","LC, LC, LC, LC","0, 0, 0, 0",unknown,0
161526,"2009, 2016","NT, VU","0.2, 0.4",decreasing,NA
161535,"2009, 2016","NT, NT","0.2, 0.2",unknown,NA
161539,"2009, 2016","LC, LC","0, 0",unknown,NA
161540,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
161546,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
161547,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
161553,"2009, 2015","LC, LC","0, 0",unknown,NA
161566,"2009, 2016","VU, VU","0.4, 0.4",unknown,NA
161596,"2009, 2015","LC, LC","0, 0",unknown,NA
161598,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
161600,"2009, 2015","LC, LC","0, 0",stable,NA
161615,"2009, 2016","LC, VU","0, 0.4",decreasing,NA
161621,"2009, 2012","VU, VU","0.4, 0.4",decreasing,NA
161628,"2009, 2015","LC, LC","0, 0",increasing,NA
161629,"2009, 2016","LC, LC","0, 0",unknown,NA
161640,"2009, 2016","LC, LC","0, 0",unknown,NA
161648,"2009, 2016","LC, LC","0, 0",unknown,NA
161655,"2009, 2015","LC, LC","0, 0",unknown,NA
161661,"2009, 2015","LC, LC","0, 0",stable,NA
161674,"2009, 2015","LC, LC","0, 0",unknown,NA
161692,"2009, 2016","VU, VU","0.4, 0.4",decreasing,NA
161700,"2009, 2015","LC, LC","0, 0",unknown,NA
161705,"2009, 2015","LC, LC","0, 0",stable,NA
161743,"2009, 2016","NT, NT","0.2, 0.2",unknown,NA
161744,"2009, 2016","LC, VU","0, 0.4",decreasing,NA
166077,"2010, 2012, 2017","LC, LC, LC","0, 0, 0",stable,0
166533,"2012, 2016","LC, LC","0, 0",unknown,NA
166575,"2012, 2017","LC, LC","0, 0",unknown,NA
166881,"2011, 2017","LC, LC","0, 0",unknown,NA
166892,"2011, 2017","LC, LC","0, 0",unknown,NA
166894,"2010, 2014","LC, NT","0, 0.2",unknown,NA
166897,"2012, 2017","LC, LC","0, 0",unknown,NA
169587,"2009, 2017","LC, LC","0, 0",unknown,NA
169632,"2009, 2017","LC, LC","0, 0",stable,NA
169967,"2011, 2015","LC, LC","0, 0",stable,NA
170341,"2011, 2014","LC, VU","0, 0.4",decreasing,NA
172359,"2011, 2012","LC, LC","0, 0",unknown,NA
172363,"2012, 2016","LC, LC","0, 0",unknown,NA
172393,"2011, 2012","LC, LC","0, 0",unknown,NA
172404,"2011, 2012","LC, LC","0, 0",stable,NA
172443,"2011, 2017","LC, LC","0, 0",stable,NA
172450,"2011, 2012","LC, LC","0, 0",unknown,NA
172468,"2011, 2017","LC, LC","0, 0",unknown,NA
172469,"2011, 2017","LC, LC","0, 0",unknown,NA
176738,"2010, 2017","LC, LC","0, 0",stable,NA
178111,"2010, 2017","LC, LC","0, 0",unknown,NA
183158,"2012, 2017","LC, LC","0, 0",stable,NA
183217,"2010, 2017","LC, LC","0, 0",unknown,NA
183308,"2010, 2014","LC, LC","0, 0",stable,NA
183310,"2010, 2012","LC, LC","0, 0",stable,NA
183317,"2010, 2016","LC, LC","0, 0",unknown,NA
183468,"2010, 2012","LC, LC","0, 0",stable,NA
183646,"2010, 2012","LC, LC","0, 0",stable,NA
183743,"2010, 2016","LC, LC","0, 0",unknown,NA
183757,"2010, 2017","LC, LC","0, 0",unknown,NA
183813,"2010, 2012","LC, LC","0, 0",unknown,NA
183839,"2010, 2012","LC, LC","0, 0",stable,NA
184088,"2010, 2013","LC, LC","0, 0",stable,NA
184099,"2010, 2013","LC, LC","0, 0",unknown,NA
184918,"2012, 2016","LC, LC","0, 0",unknown,NA
187455,"2010, 2015","LC, LC","0, 0",unknown,NA
187595,"2010, 2015","LC, LC","0, 0",unknown,NA
187790,"2010, 2015","NT, LC","0.2, 0",unknown,NA
188101,"2012, 2017","LC, LC","0, 0",stable,NA
190674,"2010, 2012","LC, LC","0, 0",unknown,NA
190675,"2010, 2012","LC, LC","0, 0",unknown,NA
190676,"2010, 2012","LC, LC","0, 0",unknown,NA
190679,"2010, 2012","LC, LC","0, 0",unknown,NA
190680,"2010, 2012","LC, LC","0, 0",unknown,NA
190681,"2010, 2012","LC, LC","0, 0",unknown,NA
190682,"2010, 2012","LC, LC","0, 0",unknown,NA
190683,"2010, 2012","LC, LC","0, 0",unknown,NA
190685,"2010, 2012","LC, LC","0, 0",unknown,NA
190686,"2010, 2012","LC, LC","0, 0",unknown,NA
190687,"2010, 2012","LC, LC","0, 0",unknown,NA
190688,"2010, 2012","LC, LC","0, 0",unknown,NA
190690,"2010, 2012","LC, LC","0, 0",unknown,NA
190691,"2010, 2012","LC, LC","0, 0",unknown,NA
190692,"2010, 2012","LC, LC","0, 0",unknown,NA
190693,"2010, 2012","LC, LC","0, 0",unknown,NA
190694,"2010, 2012","LC, LC","0, 0",unknown,NA
190695,"2010, 2012","LC, LC","0, 0",unknown,NA
190697,"2010, 2012","LC, LC","0, 0",unknown,NA
190698,"2010, 2012","LC, LC","0, 0",unknown,NA
190699,"2010, 2012","LC, LC","0, 0",unknown,NA
190700,"2010, 2012","LC, LC","0, 0",unknown,NA
190702,"2010, 2012","LC, LC","0, 0",unknown,NA
190703,"2010, 2012","LC, LC","0, 0",unknown,NA
190704,"2010, 2012","LC, LC","0, 0",unknown,NA
190705,"2010, 2012","LC, LC","0, 0",unknown,NA
190706,"2010, 2012","LC, LC","0, 0",unknown,NA
190707,"2010, 2012","LC, LC","0, 0",unknown,NA
190708,"2010, 2012","LC, LC","0, 0",unknown,NA
190709,"2010, 2012","LC, LC","0, 0",unknown,NA
190710,"2010, 2012","LC, LC","0, 0",unknown,NA
190711,"2010, 2012","NT, NT","0.2, 0.2",unknown,NA
190712,"2010, 2012","LC, LC","0, 0",unknown,NA
190713,"2010, 2012","LC, LC","0, 0",unknown,NA
190714,"2010, 2012","LC, LC","0, 0",unknown,NA
190715,"2010, 2012","LC, LC","0, 0",unknown,NA
190717,"2010, 2012","LC, LC","0, 0",unknown,NA
190718,"2010, 2012","LC, LC","0, 0",unknown,NA
190719,"2010, 2012","LC, LC","0, 0",unknown,NA
190721,"2010, 2012","LC, LC","0, 0",unknown,NA
190722,"2010, 2012","LC, LC","0, 0",unknown,NA
190723,"2010, 2012","LC, LC","0, 0",unknown,NA
190725,"2010, 2012","LC, LC","0, 0",unknown,NA
190726,"2010, 2012","LC, LC","0, 0",unknown,NA
190728,"2010, 2012","LC, LC","0, 0",unknown,NA
190729,"2010, 2012","LC, LC","0, 0",unknown,NA
190731,"2010, 2012","LC, LC","0, 0",unknown,NA
190732,"2010, 2012","LC, LC","0, 0",unknown,NA
190733,"2010, 2012","LC, LC","0, 0",unknown,NA
190734,"2010, 2012","LC, LC","0, 0",unknown,NA
190736,"2010, 2012","LC, LC","0, 0",unknown,NA
190738,"2010, 2012","LC, LC","0, 0",unknown,NA
190739,"2010, 2012","LC, LC","0, 0",unknown,NA
190740,"2010, 2012","LC, LC","0, 0",unknown,NA
190741,"2010, 2012","LC, LC","0, 0",unknown,NA
190742,"2010, 2012","LC, LC","0, 0",unknown,NA
190744,"2010, 2012","LC, LC","0, 0",unknown,NA
190745,"2010, 2012","LC, LC","0, 0",unknown,NA
190746,"2010, 2012","LC, LC","0, 0",unknown,NA
190747,"2010, 2012","LC, LC","0, 0",unknown,NA
190748,"2010, 2012","EN, EN","0.6, 0.6",decreasing,NA
190750,"2010, 2012","LC, LC","0, 0",unknown,NA
190753,"2010, 2012","LC, LC","0, 0",unknown,NA
190754,"2010, 2012","LC, LC","0, 0",unknown,NA
190755,"2010, 2012","LC, LC","0, 0",unknown,NA
190756,"2010, 2012","LC, LC","0, 0",unknown,NA
190757,"2010, 2012","LC, LC","0, 0",unknown,NA
190758,"2010, 2012","LC, LC","0, 0",unknown,NA
190759,"2010, 2012","LC, LC","0, 0",unknown,NA
190761,"2010, 2012","NT, NT","0.2, 0.2",unknown,NA
190762,"2010, 2012","LC, LC","0, 0",stable,NA
190765,"2010, 2012","LC, LC","0, 0",unknown,NA
190766,"2010, 2012","LC, LC","0, 0",unknown,NA
190767,"2010, 2012","LC, LC","0, 0",unknown,NA
190768,"2010, 2012","LC, LC","0, 0",unknown,NA
190769,"2010, 2012","LC, LC","0, 0",unknown,NA
191108,"2014, 2017","EN, EN","0.6, 0.6",decreasing,NA
194815,"2011, 2014","LC, LC","0, 0",stable,NA
194818,"2011, 2014","LC, LC","0, 0",unknown,NA
194854,"2011, 2014","LC, LC","0, 0",unknown,NA
194887,"2011, 2014","LC, LC","0, 0",stable,NA
195422,"2011, 2015","LC, LC","0, 0",unknown,NA
195427,"2011, 2015","LC, LC","0, 0",unknown,NA
195429,"2011, 2015","LC, LC","0, 0",stable,NA
195444,"2011, 2015","LC, LC","0, 0",unknown,NA
195445,"2011, 2015","LC, LC","0, 0",unknown,NA
195448,"2012, 2015","LC, LC","0, 0",stable,NA
195451,"2011, 2015","LC, LC","0, 0",unknown,NA
195453,"2011, 2015","LC, LC","0, 0",unknown,NA
195455,"2011, 2015, 2016","LC, LC, LC","0, 0, 0",unknown,0
195456,"2012, 2016","VU, VU","0.4, 0.4",decreasing,NA
195458,"2011, 2015","LC, LC","0, 0",unknown,NA
195460,"2011, 2015","LC, LC","0, 0",unknown,NA
195462,"2011, 2015","LC, LC","0, 0",unknown,NA
195464,"2011, 2015","LC, LC","0, 0",unknown,NA
195465,"2011, 2015","LC, LC","0, 0",unknown,NA
195468,"2011, 2015","LC, LC","0, 0",unknown,NA
195470,"2012, 2015","LC, LC","0, 0",unknown,NA
195472,"2011, 2015","LC, LC","0, 0",unknown,NA
195473,"2011, 2015","LC, LC","0, 0",unknown,NA
196317,"2012, 2017","LC, LC","0, 0",stable,NA
196351,"2012, 2017","LC, LC","0, 0",stable,NA
196417,"2012, 2017","LC, LC","0, 0",unknown,NA
196421,"2012, 2017","LC, LC","0, 0",unknown,NA
197047,"2012, 2017","LC, LC","0, 0",unknown,NA
197054,"2014, 2017","LC, LC","0, 0",unknown,NA
198920,"2011, 2012, 2017","VU, VU, VU","0.4, 0.4, 0.4",decreasing,-0
199622,"2012, 2017","LC, LC","0, 0",stable,NA
202053,"2011, 2015","LC, LC","0, 0",unknown,NA
202632,"2013, 2015","LC, NT","0, 0.2",decreasing,NA
22680033,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",stable,0
22680038,"1994, 2000, 2004, 2006, 2008, 2010, 2012, 2016","NT, NT, NT, NT, NT, NT, VU, VU","0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.4, 0.4",decreasing,0.00913
22680047,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",stable,0
22680052,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",decreasing,0
22680405,"1994, 2000, 2004, 2008, 2009, 2012, 2015, 2016","LC, LC, LC, LC, LC, LC, NT, NT","0, 0, 0, 0, 0, 0, 0.2, 0.2",unknown,0.00822
22680409,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",decreasing,0
22680412,"1994, 1996, 2000, 2004, 2008, 2009, 2012, 2016","VU, VU, LC, LC, LC, LC, LC, LC","0.4, 0.4, 0, 0, 0, 0, 0, 0",decreasing,-0.01868
22680415,"1994, 1996, 2000, 2004, 2005, 2006, 2008, 2010, 2012, 2013, 2016","VU, VU, LC, LC, VU, VU, VU, VU, VU, VU, VU","0.4, 0.4, 0, 0, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4, 0.4",decreasing,0.00624
22680423,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",increasing,0
22680427,"1994, 2000, 2004, 2008, 2009, 2011, 2012, 2016, 2017","LC, LC, LC, LC, LC, LC, VU, VU, VU","0, 0, 0, 0, 0, 0, 0.4, 0.4, 0.4",decreasing,0.01909
22680441,"1994, 2000, 2004, 2008, 2009, 2012, 2016","LC, LC, LC, LC, LC, LC, LC","0, 0, 0, 0, 0, 0, 0",decreasing,0
